Wave1,Corrections,RU,DE,ES,FR,AR,zh-CHS,TR,PT,Philiphino Tagalog,Hindi,Polish
_synkec,"You now know eight combinations that make the /""oo""/ sound.","Теперь вы знаете восемь комбинаций, которые делают ""ОО""/звук.","Sie kennen nun acht Kombinationen, die die/""oo""/Sound machen.","Ahora conoces ocho combinaciones que hacen la/""OO""/sonido.","Vous savez maintenant huit combinaisons qui font le/""OO""/Sound.","أنت الآن تعرف ثمانيه تركيبات التي تجعل/""س""/الصوت.","你现在知道八组合, 使/""oo""/声音。","Şimdi/""Oo""/ses yapmak sekiz kombinasyonları biliyorum.","Agora você sabe oito combinações que fazem o/""OO""/som.",,,
_synkfc,You now know five combinations that make the /you/ sound.,"Теперь вы знаете пять комбинаций, которые делают/Йоу/звук.","Sie kennen nun fünf Kombinationen, die den/you/Sound machen.",Ahora conoces cinco combinaciones que hacen sonar el/you/.,Vous connaissez maintenant cinq combinaisons qui font le son/You/.,أنت الآن تعرف خمسه تركيبات التي تجعل/يو/الصوت.,"你现在知道五组合, 使/你/声音。",Artık/You/sesini oluşturan beş kombinasyonu biliyorsun.,Agora você sabe cinco combinações que fazem o som você.,,,
_syohfl,You only have five letters left.,У тебя осталось только пять писем.,Sie haben nur fünf Buchstaben übrig.,Sólo te quedan cinco cartas.,Il ne vous reste que cinq lettres.,لديك فقط خمسه أحرف متبقية,你只剩下五封信了,Sadece beş harf kaldı.,Só restam cinco letras.,,,
_syoh,You only have...,У вас только...,Sie haben nur ...,Sólo tienes ...,Vous n'avez que ...,لديك فقط...,你只有..。,Sadece var...,Você só tem...,,,
_syoupr,"You practiced open syllables back in Lesson ""23"" with one syllable words ending in ""y"".","Вы практиковали открытые слоги обратно на урок ""23"" с одним слогом, заканчивающимся в ""y"".","Sie haben offene Silben in der Lektion ""23"" geübt, mit einer Silbe Words endet in ""y"".","Usted practicó sílabas abiertas de nuevo en la lección ""23"" con una sílaba palabras que terminan en ""y"".","Vous avez pratiqué les syllabes ouvertes dans la leçon ""23"" avec une syllabe se terminant par ""y"".","كنت تمارس المقاطع المفتوحة مره أخرى في الدرس ""23"" مع كلمات مقطع واحد تنتهي في ""y"".","你练习了在 ""23"" 课上的开放音节, 一个音节词以 ""y"" 结尾。","""23"" dersinde ""y"" ile biten hece kelimeleri ile açık heceler yaptın.","Você praticou sílabas abertas de volta na lição ""23"" com uma sílaba que termina em ""y"".",,,
_syousa,You say and type the letter or letters that make that sound.,"Вы говорите и введите букву или буквы, которые делают этот звук.","Sie sagen und geben Sie den Buchstaben oder Buchstaben ein, die diesen Klang bilden.",Usted dice y escribe la letra o las letras que hacen ese sonido.,Vous dites et tapez la lettre ou les lettres qui font ce bruit.,تقول واكتب الحرف أو الحروف التي تجعل هذا الصوت.,"你说和键入的字母或字母, 发出的声音。",Sen söyle ve harfi ya da bu sesi yapan mektupları yazın.,Você diz e datilografa a letra ou as letras que fazem esse som.,,,
_sysatt,You say and type the letters of the blend that make that sound.,"Вы говорите и введите буквы перехода, которые делают этот звук.","Sie sagen, und geben Sie die Buchstaben der Blende, die diesen Klang zu machen.",Dices y escribes las letras de la mezcla que hacen que suene.,Vous dites et tapez les lettres du mélange qui font ce bruit.,كنت أقول واكتب الحروف من المزيج الذي جعل هذا الصوت.,"你说和键入的混合字母, 使声音。",Sen diyorsun ve bu sesi yapan karışımın harflerini yazın.,Você diz e digitar as letras da mistura que fazem esse som.,,,
_sysatt1,You say and type the word on your screen.,Вы говорите и введите слово на экране.,"Sie sagen, und geben Sie das Wort auf Ihrem Bildschirm.",Usted dice y escriba la palabra en su pantalla.,Vous dites et tapez le mot sur votre écran.,تقول واكتب الكلمة علي الشاشة.,你在屏幕上说和输入单词。,Siz deyin ve ekranınızdaki sözcüğü yazın.,Você diz e digitar a palavra em sua tela.,,,
_sysbtv,You should blend the vowel team.,Вы должны смешать гласную команду.,Sie sollten das Vokal-Team mischen.,Deberías mezclar el equipo vocal.,Vous devriez mélanger l'équipe de voyelles.,يجب ان تمزج فريق الحروف الصوتية,你应该把元音小组混合起来。,Ünlü takımı karıştır.,Você deve misturar a equipe vogal.,,,
_syst,You should type...,Следует ввести...,Sie sollten eingeben ...,Usted debe teclear ...,Vous devez taper ...,يجب عليك كتابه...,您应该键入..。,Yazmanız gerekir...,Você deve digitar...,,,
_systwa,You split the word at the end of the open syllable.,Ты разделил слово в конце открытого слога.,Sie teilen das Wort am Ende der geöffneten Silbe.,Se divide la palabra al final de la sílaba abierta.,Vous divisez le mot à la fin de la syllabe ouverte.,تقسم الكلمة في نهاية المقطع المفتوح.,你在开口音节的末尾分了这个词。,Kelimeyi açık hecenin sonunda Böl.,Você divide a palavra no final da sílaba aberta.,,,
_systwb1,"You split the word between the consonant (""Hint2"")--AND THE BLEND OR DIGRAPH (""Hint3"")","Вы разделите слово между согласными (""хинт2"")--и смесью или расграфа (""хинт3"")","Sie teilen das Wort zwischen dem Konsonanten (""Hint2"")--und dem Mischen oder Digraph (""Hint3"")","Se divide la palabra entre la consonante (""Hint2"")--y la mezcla o el digrama (""Hint3"")","Vous divisez le mot entre la consonne (""Hint2"")--et le mélange ou le Digraphe (""Hint3"")","تقسم الكلمة بين الساكنة (""Hint2"")--والمزج أو الرسم البياني (""Hint3"")","你在辅音 (""Hint2"") 和混合或有向图 (""Hint3"") 之间分割单词","Sözcüğü sessiz (""Hint2"")--ve Blend veya DIGRAPH (""Hint3"") arasında bölün","Você divide a palavra entre a consoante (""Hint2"")-e a mistura ou digrafo (""Hint3"")",,,
_systwb,"You split the word between the consonants...(""Hint2"")","Вы разделяете слово между согласными... (""хинт2"")","Sie teilen das Wort zwischen den Konsonanten ... (""Hint2"")","Se divide la palabra entre las consonantes ... (""Hint2"")","Vous divisez le mot entre les consonnes ... (""Hint2"")","تقسم الكلمة بين الساكنين... (""Hint2"")","你把单词和辅音分开..。(""Hint2"")","Sen ünsüzler arasında kelime bölünmüş... (""Hint2"")","Você divide a palavra entre as consoantes... (""Hint2"")",,,
_sytats,"You typed all ""26"" letters of the alphabet in the correct order.",Вы ввели все буквы «26» алфавита в правильном порядке.,"Sie haben alle ""26"" Buchstaben des Alphabets in der korrekten Reihenfolge eingegeben.","Has escrito todas las letras ""26"" del alfabeto en el orden correcto.","Vous avez tapé toutes les lettres ""26"" de l'alphabet dans le bon ordre.","قمت بكتابه كافة الأحرف ""26"" من الابجديه بالترتيب الصحيح.","您按正确的顺序键入了字母表中的所有 ""26"" 字母。","Doğru sırada alfabenin tüm ""26"" harflerini yazdın.","Você digitou todas as letras ""26"" do alfabeto na ordem correta.",,,
_sywaww,"You will also work with words that have ""3"" letters and make 3 sounds.","Вы также будете работать со словами, имеющими «3» буквы, и делать 3 звуки.","Sie werden auch mit Wörtern arbeiten, die ""3"" Buchstaben haben und 3 Töne bilden.","También trabajarás con palabras que tienen letras ""3"" y hacen 3 sonidos.","Vous travaillerez également avec des mots qui ont ""3"" lettres et font 3 sons.","سوف تعمل أيضا مع الكلمات التي لديها ""3"" الرسائل وجعل الأصوات 3.","您还将使用具有 ""3"" 字母的单词并发出3声音。","Ayrıca ""3"" harfleri ve 3 ses yapmak kelimeleri ile çalışacaktır.","Você também vai trabalhar com palavras que têm ""3"" letras e fazer 3 sons.",,,
_sywbaiy,You will be asked if you want to add a letter to the end of the word.,Вам будет предложено добавить письмо в конец слова.,"Sie werden gefragt, ob Sie einen Brief an das Ende des Wortes hinzufügen möchten.",Se le preguntará si desea agregar una letra al final de la palabra.,Vous «serez» demandé si vous voulez ajouter une lettre à la fin du mot.,سيتم سؤالك عما إذا كنت تريد أضافه رسالة إلى نهاية الكلمة.,"您将 ""被"" 询问是否要将字母添加到单词的末尾。","Eğer sözcüğün sonuna bir mektup eklemek istiyorsanız ""olacaktır"" sorulur.","Você vai ""ser"" perguntado se você quiser adicionar uma carta ao final da palavra.",,,
_sywbww,"You will be working with open one syllable ""vce"" words and closed one syllable words.",Вы будете работать с открытыми одним слогом «ВЦЕ» и закрыли одно слоговые слова.,"Sie werden ""be"" arbeiten mit offener eine Silbe ""VCE"" Worte und geschlossen eine Silbe Worte.","Usted ""estará"" trabajando con las palabras abiertas de una sílaba ""VCE"" y cerró una sílaba palabras.","Vous ""être"" travailler avec ouvrir une syllabe ""VCE"" mots et fermé une syllabe mots.","سوف ""يكون"" العمل مع فتح مقطع واحد ""العنف الحر"" الكلمات والكلمات المغلقة مقطع واحد.","您将 ""是"" 工作与打开一个音节 ""vce"" 词并且关闭了一个音节词。","Sen """" açık bir hece ""VCE"" kelimeleri ile çalışma ve bir hece kelime kapalı olacak.","Você vai ""estar"" trabalhando com abrir uma sílaba ""VCE"" palavras e fechou uma sílaba palavras.",,,
_sywbww2,You will be working with the letter combinations...,Вы будете работать с комбинациями букв...,"Sie werden ""be"" arbeiten mit den Buchstaben-Kombinationen ...","Usted ""estará"" trabajando con las combinaciones de letras ...",Vous «serez» en travaillant avec les combinaisons de lettres ...,"سوف ""تكون"" العمل مع تركيبات الرسالة...","您将 ""是"" 工作与字母组合..。","Sen """" harf kombinasyonları ile çalışma olacak...","Você vai ""estar"" trabalhando com as combinações de letras...",,,
